YEAR,MO,DY,HR,IRRADIATION
2020,1,15,14,263.99
2020,1,15,15,159.58
2020,1,15,16,43.52
2020,1,15,17,0.0
2020,1,15,18,0.0
2020,1,15,19,0.0
2020,1,15,20,0.0
2020,1,15,21,0.0
2020,1,15,22,0.0
2020,1,15,23,0.0
2020,1,16,0,0.0
2020,1,16,1,0.0
2020,1,16,2,0.0
2020,1,16,3,0.0
2020,1,16,4,0.0
2020,1,16,5,0.0
2020,1,16,6,0.0
2020,1,16,7,0.0
2020,1,16,8,31.55
2020,1,16,9,166.48
2020,1,16,10,260.8
2020,1,16,11,335.27
2020,1,16,12,381.79
2020,1,16,13,375.32
2020,1,16,14,287.56
2020,1,16,15,165.98
2020,1,16,16,46.7
2020,1,16,17,0.0
2020,1,16,18,0.0
2020,1,16,19,0.0
2020,1,16,20,0.0
2020,1,16,21,0.0
2020,1,16,22,0.0
2020,1,16,23,0.0
2020,1,17,0,0.0
2020,1,17,1,0.0
2020,1,17,2,0.0
2020,1,17,3,0.0
2020,1,17,4,0.0
2020,1,17,5,0.0
2020,1,17,6,0.0
2020,1,17,7,0.0
2020,1,17,8,28.21
2020,1,17,9,152.23
2020,1,17,10,233.27
2020,1,17,11,306.29
2020,1,17,12,377.06
2020,1,17,13,388.4
2020,1,17,14,309.8
2020,1,17,15,179.21
2020,1,17,16,45.59
2020,1,17,17,0.0
2020,1,17,18,0.0
2020,1,17,19,0.0
2020,1,17,20,0.0
2020,1,17,21,0.0
2020,1,17,22,0.0
2020,1,17,23,0.0
2020,1,18,0,0.0
2020,1,18,1,0.0
2020,1,18,2,0.0
2020,1,18,3,0.0
2020,1,18,4,0.0
2020,1,18,5,0.0
2020,1,18,6,0.0
2020,1,18,7,0.0
2020,1,18,8,36.88
2020,1,18,9,184.0
2020,1,18,10,250.34
2020,1,18,11,309.45
2020,1,18,12,352.31
2020,1,18,13,352.15
2020,1,18,14,273.02
2020,1,18,15,162.29
2020,1,18,16,45.7
2020,1,18,17,0.0
2020,1,18,18,0.0
2020,1,18,19,0.0
2020,1,18,20,0.0
2020,1,18,21,0.0
2020,1,18,22,0.0
2020,1,18,23,0.0
2020,1,19,0,0.0
2020,1,19,1,0.0
2020,1,19,2,0.0
2020,1,19,3,0.0
2020,1,19,4,0.0
2020,1,19,5,0.0
2020,1,19,6,0.0
2020,1,19,7,0.0
2020,1,19,8,35.54
2020,1,19,9,171.02
2020,1,19,10,204.17
2020,1,19,11,227.91
2020,1,19,12,232.51
2020,1,19,13,264.4
2020,1,19,14,193.91
2020,1,19,15,114.96
2020,1,19,16,37.38
2020,1,19,17,0.0
2020,1,19,18,0.0
2020,1,19,19,0.0
2020,1,19,20,0.0
2020,1,19,21,0.0
2020,1,19,22,0.0
2020,1,19,23,0.0
2020,1,20,0,0.0
2020,1,20,1,0.0
2020,1,20,2,0.0
2020,1,20,3,0.0
2020,1,20,4,0.0
2020,1,20,5,0.0
2020,1,20,6,0.0
2020,1,20,7,0.0
2020,1,20,8,34.76
2020,1,20,9,141.45
2020,1,20,10,223.56
2020,1,20,11,290.25
2020,1,20,12,309.57
2020,1,20,13,305.61
2020,1,20,14,239.85
2020,1,20,15,155.26
2020,1,20,16,38.23
2020,1,20,17,0.0
2020,1,20,18,0.0
2020,1,20,19,0.0
2020,1,20,20,0.0
2020,1,20,21,0.0
2020,1,20,22,0.0
2020,1,20,23,0.0
2020,1,21,0,0.0
2020,1,21,1,0.0
2020,1,21,2,0.0
2020,1,21,3,0.0
2020,1,21,4,0.0
2020,1,21,5,0.0
2020,1,21,6,0.0
2020,1,21,7,0.0
2020,1,21,8,40.79
2020,1,21,9,122.52
2020,1,21,10,206.34
2020,1,21,11,248.52
2020,1,21,12,271.1
2020,1,21,13,287.01
2020,1,21,14,211.2
2020,1,21,15,137.78
2020,1,21,16,45.9
2020,1,21,17,0.0
2020,1,21,18,0.0
2020,1,21,19,0.0
2020,1,21,20,0.0
2020,1,21,21,0.0
2020,1,21,22,0.0
2020,1,21,23,0.0
2020,1,22,0,0.0
2020,1,22,1,0.0
2020,1,22,2,0.0
2020,1,22,3,0.0
2020,1,22,4,0.0
2020,1,22,5,0.0
2020,1,22,6,0.0
2020,1,22,7,0.0
2020,1,22,8,37.99
2020,1,22,9,173.8
2020,1,22,10,246.1
2020,1,22,11,316.67
2020,1,22,12,386.75
2020,1,22,13,359.88
2020,1,22,14,300.22
2020,1,22,15,186.34
2020,1,22,16,62.49
2020,1,22,17,0.0
2020,1,22,18,0.0
2020,1,22,19,0.0
2020,1,22,20,0.0
2020,1,22,21,0.0
2020,1,22,22,0.0
2020,1,22,23,0.0
2020,1,23,0,0.0
2020,1,23,1,0.0
2020,1,23,2,0.0
2020,1,23,3,0.0
2020,1,23,4,0.0
2020,1,23,5,0.0
2020,1,23,6,0.0
2020,1,23,7,0.0
2020,1,23,8,37.99
2020,1,23,9,152.3
2020,1,23,10,204.75
2020,1,23,11,288.63
2020,1,23,12,312.6
2020,1,23,13,311.45
2020,1,23,14,234.38
2020,1,23,15,155.67
2020,1,23,16,57.13
2020,1,23,17,0.0
2020,1,23,18,0.0
2020,1,23,19,0.0
2020,1,23,20,0.0
2020,1,23,21,0.0
2020,1,23,22,0.0
2020,1,23,23,0.0
2020,1,24,0,0.0
2020,1,24,1,0.0
2020,1,24,2,0.0
2020,1,24,3,0.0
2020,1,24,4,0.0
2020,1,24,5,0.0
2020,1,24,6,0.0
2020,1,24,7,0.0
2020,1,24,8,35.14
2020,1,24,9,202.7
2020,1,24,10,330.58
2020,1,24,11,399.12
2020,1,24,12,444.25
2020,1,24,13,418.7
2020,1,24,14,336.48
2020,1,24,15,228.36
2020,1,24,16,81.35
2020,1,24,17,0.0
2020,1,24,18,0.0
2020,1,24,19,0.0
2020,1,24,20,0.0
2020,1,24,21,0.0
2020,1,24,22,0.0
2020,1,24,23,0.0
2020,1,25,0,0.0
2020,1,25,1,0.0
2020,1,25,2,0.0
2020,1,25,3,0.0
2020,1,25,4,0.0
2020,1,25,5,0.0
